CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
11113,0,0,0,1,1,0,0,0,1,43,0,0,0,0,1,3,0,2.33,1376,4516,1,55
11224,0,0,0,1,1,2,0,1,1,8,1,0,0,0,0,2,1,2.35,2015,0,0,23
11335,0,0,0,1,1,2,4,1,1,36,1,0,0,2,1,3,0,2.28,1560,12196,0,44
11446,0,0,0,1,1,2,4,0,1,2,1,0,0,1,0,3,0,1.98,2228,0,0,30
11557,0,0,0,1,1,3,4,0,1,32,0,0,0,2,0,2,1,2.26,1376,0,0,21
11668,0,0,0,1,1,3,0,0,0,37,0,0,0,0,0,1,0,1.76,1590,0,1,20
11779,0,0,0,1,1,2,0,1,1,52,1,0,0,0,0,2,1,1.93,2228,0,1,23
11890,0,0,0,1,1,2,0,1,1,50,1,0,0,3,0,3,0,1.93,2228,0,0,32
12001,0,0,0,1,1,2,2,1,1,32,0,0,1,2,0,3,0,1.88,2169,0,0,23
12112,0,0,0,1,1,0,0,0,1,39,1,0,0,1,0,0,0,2.2,2892,0,1,25
12224,0,0,0,1,1,0,4,1,1,48,0,0,0,2,1,2,1,2.29,1376,22275,0,52
12335,0,0,0,1,1,2,0,1,1,26,1,0,1,3,0,2,1,2.14,1376,0,0,22
12446,0,0,0,1,1,3,0,1,1,32,0,0,0,0,1,2,1,2.31,1376,14387,0,51
12557,0,0,0,1,1,2,0,1,1,32,1,0,0,2,1,2,1,2.31,2015,22013,0,50
12668,0,0,0,1,1,2,4,1,0,41,0,0,1,1,0,3,0,1.66,2611,0,0,23
12779,0,0,0,1,1,2,4,0,1,27,1,0,0,1,0,0,0,2.02,2015,0,0,24
12890,0,0,0,1,1,1,0,1,1,8,0,0,0,0,0,3,0,2.19,1376,0,0,27
13001,0,0,0,1,1,0,0,1,1,11,1,0,0,3,0,1,0,1.94,3213,0,0,23
13112,0,0,0,1,1,2,0,1,1,41,1,0,0,3,0,3,0,2.1,2456,0,0,23
13223,0,0,0,1,1,0,0,1,1,7,1,0,0,1,0,3,0,1.68,1590,0,0,25
13335,0,0,0,1,1,3,0,1,1,7,0,0,0,0,0,3,0,1.76,1590,0,0,28
13446,0,0,0,1,1,2,0,1,1,8,1,0,1,0,0,3,0,2.03,1376,0,1,18
13557,0,0,0,1,1,2,0,1,1,32,1,0,0,2,0,0,0,2.33,2015,0,0,22
13668,0,0,0,1,1,0,4,1,1,2,0,0,0,3,1,3,0,2.33,1376,9397,0,38
13779,0,0,0,1,1,2,0,1,1,50,1,0,0,0,0,3,0,2.33,2015,0,1,31
13890,0,0,0,1,1,3,0,0,2,41,0,0,0,2,0,2,1,2.17,1818,0,0,25
14001,0,0,0,1,1,2,4,0,1,45,0,0,1,3,0,2,1,1.88,2169,0,0,25
14112,0,0,0,1,1,0,0,1,2,28,0,0,0,3,0,3,0,1.99,2031,0,0,18
14223,0,0,0,1,1,3,0,0,1,22,0,0,0,2,0,0,0,1.85,1590,0,0,22
14334,0,0,0,1,1,3,0,0,1,8,0,0,0,0,1,2,1,2.35,1376,10867,0,55
14446,0,0,0,1,1,0,0,1,1,48,1,0,0,3,1,3,0,2.29,2892,14018,0,21
14557,0,0,0,1,1,2,4,1,1,41,1,0,0,1,0,2,1,2.21,2456,0,0,21
14668,0,0,0,1,1,2,4,1,0,8,1,0,1,1,0,3,0,1.46,1590,0,0,27
14779,0,0,0,1,1,0,0,0,1,48,0,0,0,2,0,3,0,2.24,1376,0,0,25
14890,0,0,0,1,1,3,0,1,1,35,0,0,0,0,0,0,0,1.99,1590,0,0,29
15001,0,0,0,1,1,2,4,0,1,2,1,0,0,0,0,1,0,2.06,2015,0,0,22
15112,0,0,0,1,1,2,4,1,1,32,0,0,0,2,1,3,0,2.27,2064,31641,1,62
15223,0,0,0,1,1,2,4,0,1,20,1,0,1,2,0,3,1,2.28,1376,0,0,30
15334,0,0,0,1,1,0,0,1,1,2,1,0,0,1,0,1,0,2.33,2892,0,1,31
15445,0,0,0,1,1,2,4,0,1,33,1,0,0,1,1,2,1,2.32,2015,7996,0,55
15557,0,0,0,1,1,2,0,1,1,35,1,0,0,3,1,1,0,2.34,2015,14705,0,59
15668,0,0,0,1,1,0,0,1,1,19,0,0,0,2,0,2,1,2.25,1376,0,0,28
15779,0,0,0,1,1,0,0,0,1,32,0,0,0,0,1,0,0,2.27,1376,13817,1,53
15890,0,0,0,1,1,2,0,0,1,8,1,0,1,3,1,3,0,1.79,3254,32131,1,37
16001,0,0,0,1,1,2,0,0,1,31,1,0,0,3,0,3,0,2.0,2228,0,0,28
16112,0,0,0,1,1,2,0,0,1,15,1,0,0,2,0,2,1,2.21,2015,0,0,20
16223,0,0,0,1,1,0,0,1,1,8,1,0,0,0,1,3,1,2.3,2892,6951,1,54
16334,0,0,0,1,1,2,0,0,1,2,1,0,0,1,0,2,1,2.29,2015,0,0,23
16445,0,0,0,1,1,3,0,1,1,45,0,0,0,3,1,3,0,2.26,1376,15107,0,40
16556,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,2,1,2.0,1590,0,0,19
16668,0,0,0,1,1,0,2,0,1,8,0,0,0,0,0,1,0,2.15,1376,0,0,29
16779,0,0,0,1,1,0,0,1,1,8,0,0,0,0,0,3,0,1.87,1590,0,0,30
16890,0,0,0,1,1,2,3,1,1,19,1,0,0,3,0,3,0,1.92,2228,0,0,21
